1268, 1460, 2613, 2199, 1142, 1243, 1283, 1790, 1405, 1408
819, 1149, 1340, 1058, 929, 865, 816, 968, 1064, 1561
1692, 841, 956, 1448, 1132, 1455, 1140, 1064, 932, 1026
1625, 1975, 1380, 1735, 2071, 1340, 2404, 1930, 1779, 1870
2238, 1877, 2025, 1938, 3705, 5888, 3081, 1917, 2034, 2221
687, 1275, 1036, 985, 909, 1159, 970, 967, 1061, 1165
1214, 970, 1298, 1475, 1355, 1330, 1485, 949, 931, 1286
2140, 2128, 2210, 1972, 2029, 1765, 1872, 1743, 2140, 1985
2411, 2035, 2869, 2074, 2077, 2245, 2007, 3512, 2449, 3545
1644, 2682, 1743, 2100, 1467, 2523, 1872, 1212, 1388, 2652
1268, 960, 1642, 1617, 1094, 1048, 1422, 953, 980, 951
1853, 2681, 1445, 2107, 2413, 1922, 1683, 2777, 1935, 1665
1911, 1731, 1795, 1701, 1930, 1697, 1739, 1700, 1390, 1792
1821, 2485, 2277, 1395, 1908, 2069, 1954, 2241, 3760, 2357
2690, 2167, 3322, 3092, 3055, 2791, 3220, 4684, 2242, 2768
1349, 2022, 1017, 1245, 2371, 1043, 1285, 1491, 1328, 1308
1900, 2089, 2049, 1553, 1773, 1700, 2264, 1940, 2021, 1889
1278, 2574, 1807, 1475, 1946, 1808, 1559, 2305, 2635, 2345
1055, 819, 1209, 1451, 1622, 887, 926, 1000, 1465, 1263
941, 1359, 724, 609, 825, 988, 698, 1081, 888, 915
1380, 1341, 1230, 1162, 1152, 1658, 1381, 1665, 1317, 1699
956, 904, 1065, 869, 814, 1124, 1122, 1012, 1084, 997
1957, 2525, 2330, 2506, 1899, 2262, 2239, 2069, 2589, 2809
1406, 972, 955, 925, 1250, 954, 1030, 1433, 1160, 1130
2300, 2276, 2103, 2343, 2088, 2155, 2057, 2014, 2755, 2770
1292, 1286, 940, 1185, 1282, 911, 1142, 1006, 1154, 1340
1374, 1319, 1683, 1443, 1365, 1694, 1719, 1398, 1844, 1530
3738, 2632, 1684, 2065, 2192, 1767, 2358, 1806, 1939, 2043
1211, 1263, 2073, 1141, 1328, 2143, 1093, 1153, 1240, 1163
873, 785, 1211, 998, 895, 895, 892, 926, 1068, 1060
1135, 1078, 972, 1099, 930, 1323, 1297, 1001, 1039, 1124
10031, 0, 0, 0, 0, 14094, 0, 10342, 11990, 0
1235, 1315, 1760, 2091, 2308, 1593, 2769, 1855, 1987, 1795
1229, 848, 829, 1139, 1093, 1013, 885, 950, 1175, 1374
801, 910, 869, 846, 909, 1031, 1093, 1059, 792, 1016
818, 1087, 1246, 1263, 1251, 1670, 1120, 1244, 1094, 1175
914, 984, 973, 1195, 998, 1002, 1047, 877, 941, 1000
1052, 977, 741, 918, 842, 929, 940, 1116, 1097, 1072
928, 893, 1215, 1265, 852, 1023, 1045, 1399, 881, 847
2004, 1405, 1751, 2081, 1648, 1310, 1344, 1394, 1690, 995
2604, 2419, 2425, 2760, 2347, 2511, 2537, 2107, 2641, 2180
1142, 959, 940, 1174, 1490, 1114, 1065, 982, 1109, 876
1781, 1843, 1710, 1754, 1922, 1325, 1697, 1221, 1235, 1607
1337, 1075, 976, 1085, 1175, 1209, 1280, 1134, 1078, 1315
2640, 2800, 3274, 3386, 2928, 3392, 3410, 3373, 2756, 3070
1144, 1026, 1079, 1122, 1190, 1115, 1044, 1027, 1483, 1290
1109, 1212, 1631, 1315, 1345, 1364, 1043, 1450, 1063, 1032
1819, 1969, 1598, 1910, 1915, 1702, 2380, 1780, 1811, 1814
1010, 1424, 1183, 1106, 1212, 1160, 1106, 1176, 1276, 1192
1895, 1718, 1957, 1921, 1938, 2048, 1395, 1365, 1709, 1369
2894, 4730, 3971, 9790, 2505, 6271, 3791, 1772, 5595, 1710
906, 879, 951, 1024, 931, 978, 1169, 1030, 948, 882
956, 1130, 1124, 1365, 1134, 1690, 983, 1103, 1444, 1258
979, 916, 1190, 1170, 773, 1234, 940, 1000, 845, 998
1489, 1876, 2370, 1445, 1937, 2207, 2528, 2017, 2260, 1820
1260, 1455, 1385, 1126, 1075, 1724, 1354, 1161, 1795, 2010
1315, 1264, 898, 1294, 1088, 1091, 951, 964, 1097, 1061
3183, 3364, 3678, 1934, 2851, 2105, 2122, 2256, 3152, 4147
963, 1192, 874, 1125, 1136, 1081, 1140, 1055, 903, 845
1442, 1078, 1129, 1673, 1005, 1125, 1128, 1312, 905, 1592
2203, 1915, 2077, 1866, 2180, 2087, 2400, 2353, 7548, 2019
2178, 2542, 4423, 3642, 2618, 2233, 2681, 2060, 2506, 1978
1177, 1141, 986, 896, 889, 1115, 974, 757, 997, 1006
2209, 1948, 2085, 1989, 1930, 1961, 1765, 1880, 1692, 1837
2219, 1233, 1265, 1131, 1018, 895, 1145, 1780, 996, 981
1867, 1098, 1482, 1673, 1296, 1408, 1746, 1390, 1216, 1156
1852, 1590, 1598, 1241, 1363, 1262, 1801, 1435, 1880, 1745
2719, 3359, 2479, 2451, 2233, 2438, 2514, 1887, 4541, 1640
1161, 1292, 1336, 1368, 1348, 1024, 1274, 1031, 1864, 1126
2555, 3210, 3525, 3335, 3264, 2580, 3708, 3229, 2630, 3311
945, 1054, 1108, 816, 934, 868, 806, 965, 875, 892
741, 1000, 908, 740, 1100, 1019, 940, 826, 853, 850
1815, 1402, 1894, 1289, 1763, 1464, 1856, 2140, 1740, 1544
1217, 1023, 1220, 1402, 1197, 1175, 1239, 1227, 2015, 1241
2350, 2222, 2129, 1889, 1649, 1972, 2298, 1967, 1573, 2173
2236, 2061, 2605, 1759, 2150, 2757, 2038, 2475, 4301, 1978
3059, 1896, 1330, 1916, 1183, 2486, 4456, 1394, 2441, 1620
1124, 1438, 1060, 1630, 1413, 1868, 1652, 1445, 1807, 1275
2020, 2452, 2350, 1839, 2190, 2180, 1979, 2220, 2528, 1943
3474, 2316, 2845, 2750, 2385, 2315, 2100, 1921, 1788, 1926
1069, 1116, 980, 909, 1304, 1236, 1044, 1131, 1115, 1184
1735, 1712, 1727, 1203, 1691, 1659, 1727, 1416, 1235, 1365
830, 915, 1187, 784, 814, 869, 980, 1045, 902, 1117
1253, 1376, 2245, 1436, 1200, 2137, 1976, 1233, 1591, 1265
1573, 1380, 1195, 1430, 907, 2200, 1283, 1023, 1220, 1245
3903, 2289, 2102, 2908, 3544, 2294, 2865, 2209, 2111, 2240
786, 872, 894, 1405, 1003, 1004, 875, 1075, 1181, 1363
2424, 1925, 1625, 2215, 1789, 1994, 1767, 1827, 1703, 2116
915, 1067, 1427, 1138, 1255, 1271, 1145, 1289, 976, 1370
2495, 1863, 1950, 1859, 2045, 2345, 3480, 2016, 2430, 2127
1662, 1377, 1685, 2195, 2336, 1700, 2488, 1976, 2625, 2124
2178, 1402, 2021, 1886, 2498, 2440, 1804, 2070, 2045, 2029
1040, 1100, 1151, 1161, 1077, 1068, 931, 966, 1323, 949
1199, 1347, 1708, 1656, 1675, 1340, 1242, 1255, 1183, 1124
804, 1039, 1227, 1215, 1007, 1603, 876, 1097, 969, 1003
947, 940, 909, 899, 867, 970, 857, 951, 988, 855
1145, 1106, 1274, 1192, 1264, 927, 1105, 1180, 1210, 1250
1705, 2599, 2329, 2585, 2341, 1777, 1872, 2238, 1950, 2432
1020, 1211, 973, 1138, 921, 1061, 1168, 1088, 979, 1028
1120, 1338, 1290, 1161, 1358, 1135, 930, 1794, 1003, 1452

