3540, 3396, 4116, 3576, 4336, 4566, 3396, 3420, 5890, 3850
1930, 1960, 1630, 1986, 1743, 1640, 1780, 1776, 1626, 1666
1970, 2576, 2520, 2190, 2890, 2523, 2063, 2766, 1900, 2466
4596, 6406, 4840, 4100, 5580, 4503, 5036, 4510, 4240, 4803
6316, 9136, 8590, 6533, 7403, 6886, 6800, 7546, 8410, 5216
1623, 1833, 2076, 1786, 1806, 1793, 1440, 1683, 1620, 1706
1860, 1920, 1680, 1910, 1673, 1636, 1776, 1663, 1673, 1770
4390, 4183, 4650, 4373, 3626, 3980, 4073, 3903, 3973, 4506
6066, 6830, 7430, 5890, 6636, 6790, 6326, 6566, 7370, 7433
4913, 5006, 4333, 4380, 4393, 5250, 3850, 3866, 5376, 4156
2653, 2910, 3030, 3183, 2563, 2446, 2326, 2460, 2693, 2616
4143, 7510, 4173, 5840, 5053, 3940, 3093, 5376, 4773, 4740
3370, 3513, 2770, 4270, 3503, 3750, 3140, 4090, 2836, 2903
10660, 4423, 5280, 5396, 5540, 5553, 5030, 4990, 6563, 4476
8700, 8066, 8703, 8206, 8163, 9126, 10140, 7743, 8933, 8576
4036, 4070, 2996, 3873, 3406, 3320, 3960, 3606, 2660, 3150
5993, 5436, 7386, 5943, 7033, 6336, 6370, 7073, 5563, 5006
3753, 4620, 3293, 5113, 4336, 3320, 4120, 3873, 5806, 5020
1753, 2480, 1786, 1676, 1993, 1653, 1813, 1763, 1676, 1946
2293, 2500, 2820, 2016, 2676, 2796, 2666, 2843, 2606, 1806
3843, 3383, 3860, 3693, 3460, 3496, 3690, 3393, 3413, 3390
2590, 2686, 2590, 2296, 2563, 2580, 1810, 2446, 3143, 2676
6840, 7126, 7423, 5690, 6930, 6126, 7166, 6733, 7196, 6623
2203, 1790, 1760, 1673, 1693, 1836, 1636, 1640, 1786, 1686
5560, 5233, 5400, 5553, 6240, 11113, 4760, 6226, 6340, 4743
2746, 3006, 2706, 2680, 2850, 3413, 2183, 2690, 2783, 2203
3670, 3733, 3570, 4100, 4383, 3816, 3990, 3780, 4116, 3690
4703, 4906, 4870, 7066, 5743, 5180, 4346, 4943, 6536, 6503
2596, 3753, 3326, 3940, 2800, 3500, 3226, 2846, 3466, 3546
2923, 2923, 2390, 3110, 2290, 1820, 1923, 1870, 2593, 3250
2580, 1896, 1790, 1980, 2810, 2666, 1860, 2633, 1843, 2793
12290, 11110, 9346, 12393, 0, 9646, 9530, 11166, 10790, 12690
3800, 4896, 3753, 3390, 3780, 3063, 3883, 3213, 4346, 3620
