1410, 1120, 1100, 1036, 2080, 1340, 886, 1380, 1803, 1733
2816, 3020, 2926, 2766, 3060, 3913, 2283, 3273, 3496, 3270
1890, 1706, 2140, 2190, 2346, 1996, 1870, 2363, 1853, 1993
2370, 2506, 2210, 2393, 2183, 2320, 2263, 2430, 2810, 2220
2036, 2413, 3083, 2896, 2020, 2206, 2043, 1750, 1730, 1306
1186, 1260, 1156, 840, 1146, 1246, 1313, 1113, 1436, 1896
1320, 1160, 1106, 950, 990, 1160, 1293, 1633, 1350, 1176
1770, 2103, 1783, 1880, 2080, 1880, 2266, 2246, 2110, 1260
1150, 1160, 1080, 1413, 1240, 986, 1723, 1193, 976, 930
1026, 1096, 1220, 1443, 923, 1110, 1303, 1333, 1040, 1836
2290, 2180, 2403, 2513, 3126, 2453, 2620, 2530, 2320, 2303
2066, 1586, 2120, 2050, 1740, 1160, 2153, 1850, 1653, 2290
2666, 3730, 2410, 2950, 3653, 3323, 2726, 3613, 2933, 3203
1936, 1790, 1626, 1756, 2020, 1993, 1723, 1743, 1873, 2136
2490, 2786, 1633, 2416, 1900, 2360, 1800, 2116, 1450, 2063
2206, 1973, 1623, 2130, 1973, 2353, 2126, 1890, 1993, 2096
3416, 2753, 3110, 3270, 3126, 2320, 3243, 2933, 2946, 2973
1753, 1860, 1883, 1260, 1950, 1540, 1873, 2133, 1780, 1540
1860, 1653, 1890, 1860, 1770, 2043, 2220, 1820, 2000, 2643
1263, 1906, 1166, 1380, 2373, 1270, 1086, 2140, 1283, 1296
1346, 1736, 1716, 1363, 1713, 1606, 1176, 2086, 1323, 1690
886, 1053, 1073, 1143, 970, 1103, 1090, 1660, 1076, 1253
1180, 1880, 1696, 1460, 1666, 1433, 1140, 1446, 1303, 1163
3123, 4850, 2960, 3053, 4236, 3003, 3406, 2916, 2980, 3046
2533, 3270, 2510, 3276, 2166, 2850, 2366, 2440, 2753, 2086
2406, 2410, 2146, 2246, 2950, 2273, 1886, 2266, 2593, 2846
2623, 3040, 3640, 2840, 2963, 2870, 2903, 2973, 2496, 2813
1323, 1863, 1893, 1336, 1886, 1293, 1183, 1190, 1706, 1223
1476, 2060, 1660, 1266, 1023, 1793, 1813, 1260, 1033, 1163
2903, 3296, 2643, 2240, 2636, 2883, 2400, 2956, 2783, 2416
